is_potentially_hazardous_asteroid,estimated_diameter.meters.estimated_diameter_min,estimated_diameter.meters.estimated_diameter_max,close_approach_date,epoch_date_close_approach,orbiting_body,relative_velocity.kilometers_per_second,relative_velocity.kilometers_per_hour,orbit_class_description,id,name,relative_velocity.kilometers_per_minute
0,121.49404079959999,271.6689340891,1995-01-11 00:00:00,1995-01-11 16:14:00,Earth,18.0991616726,65156.982021350304,An asteroid orbit contained entirely within the orbit of the Eart,3401191,(2008 BP16),1085.9497003558383
0,19.2555078188,43.0566244241,1995-01-11 00:00:00,1995-01-11 12:22:00,Earth,11.9321657219,42955.796598811896,An asteroid orbit contained entirely within the orbit of the Eart,3655395,(2013 YM2),715.9299433135316
1,116.0259082094,259.44181790740004,1995-01-11 00:00:00,1995-01-11 03:22:00,Earth,14.257165835699999,51325.7970085319,Near Earth asteroid orbits similar to that of 1221 Amor,3893736,(2019 WD5),855.4299501421984
0,101.054341542,225.96437710939998,1995-01-18 00:00:00,1995-01-18 08:12:00,Earth,28.582422243499998,102896.7200765568,An asteroid orbit contained entirely within the orbit of the Eart,3837639,(2019 AT3),1714.94533460928
0,506.4714588346,1132.5046106177,1995-01-18 00:00:00,1995-01-18 14:42:00,Earth,16.488846336800002,59359.846812488606,An asteroid orbit contained entirely within the orbit of the Eart,3753133,(2016 JU24),989.3307802081434
0,73.20739893470001,163.696720474,1995-01-18 00:00:00,1995-01-18 02:30:00,Earth,26.2464317638,94487.15434969553,An asteroid orbit contained entirely within the orbit of the Eart,3837525,(2018 YK2),1574.7859058282588
0,127.2198785394,284.4722965033,1995-01-18 00:00:00,1995-01-18 05:14:00,Earth,11.965228401700001,43074.822245973504,Near Earth asteroid orbits similar to that of 2062 Aten,3797900,(2018 BJ5),717.9137040995585
0,6.3760978988,14.2573883328,1995-01-18 00:00:00,1995-01-18 04:54:00,Earth,16.053151815899998,57791.34653714349,Near Earth asteroid orbits similar to that of 1221 Amor,3704767,(2015 BE92),963.1891089523914
0,36.6906137531,82.0427064882,1995-01-18 00:00:00,1995-01-18 00:18:00,Earth,15.980210135999998,57528.7564894243,An asteroid orbit contained entirely within the orbit of the Eart,3797753,(2018 BV1),958.8126081570716
0,69.9125232246,156.32915440870002,1995-01-18 00:00:00,1995-01-18 09:17:00,Earth,8.8286222565,31783.0401233568,An asteroid orbit contained entirely within the orbit of the Eart,3836878,(2018 XP3),529.71733538928
0,80.2703167283,179.48988477990002,1995-01-18 00:00:00,1995-01-18 10:33:00,Earth,13.299028135999999,47876.501289704414,An asteroid orbit contained entirely within the orbit of the Eart,3748182,(2016 FJ3),797.9416881617402
1,667.6594134951999,1492.931834393,1995-01-19 00:00:00,1995-01-19 21:55:00,Earth,13.6305303871,49069.909393474,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,2443103,443103 (2013 WT67),817.8318232245667
0,121.49404079959999,271.6689340891,1995-01-19 00:00:00,1995-01-19 16:36:00,Earth,26.234969737800004,94445.8910559763,Near Earth asteroid orbits which cross the Earth’s orbit similar to that of 1862 Apollo,3283218,(2005 MF5),1574.0981842662718
0,40.2304579834,89.9580388169,1995-01-16 00:00:00,1995-01-16 14:33:00,Earth,18.6159784305,67017.5223496646,Near Earth asteroid orbits similar to that of 1221 Amor,3625335,(2013 BC70),1116.9587058277434
